income,derived_consumption,year_2018,year_2019,year_2020,year_2021,year_2022,WfhCor_1,treatment_1,did_effect
498.45,79.06669186,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1140.36,94.43397842,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
476.1,112.1945802,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1246.97,666.6442321,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1369.66,149.4459634,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
753.43,36.90389736,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
970.38,42.17578561,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
524.9,63.48867739,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1596.72,925.5923279,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2243.692,93.06133333,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1172,23.25905292,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
708.68,41.86168921,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1008.98,25.98333656,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
905.38,244.2683096,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
471.96,112.7920675,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
486.73,99.05998209,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2362.6,260.7895677,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1559.01,79.8352295,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
957.74,48.39550887,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1214.22,93.97839693,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
942.56,78.86526398,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
901.02,243.1395576,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
447.27,151.1100779,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
833.42,103.3510053,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
443.9312308,50.70624507,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1028.22,61.02019332,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1281.63,155.4301052,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1014.234,35.0491343,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
935.17,174.270461,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1681.46,233.6200364,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1751.578154,360.582697,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
787.16,34.66883926,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
814.5,38.2334239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
783.37,56.31218573,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
926.71,46.93864683,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309.18,35.73876618,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1089.96,88.49131006,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1415.31,80.1738451,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1696.733231,35.28759426,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
517.33,94.9800893,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41.8,79.94162478,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
424.89,13.04273211,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
425,45.67602223,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2362.6,327.8917519,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
830.08,117.0337166,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1173.94,61.74055829,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
839.82,701.293723,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2362.6,1553.573337,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
618.32,56.95394179,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938.8175,44.86781735,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
576.5681538,38.50476533,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
914.08,88.26795413,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
964.62,283.3097595,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1549.328154,34.79236001,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1351.54,296.2684967,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1467.35,181.8391192,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
319.78,80.81029485,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
703.473,299.509383,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1099.43,288.8696292,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
830.264,22.46916151,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
855.33,822.344086,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
735.08,178.6034709,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
348.332,14.65898432,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
458.41,42.95094153,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
591.93,98.90010547,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
541.87,25.58985133,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
559.67,84.18008619,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
874.07,212.9238985,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
739.73,8.448254442,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161.18,68.63479694,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
743.85,31.10083532,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2362.6,519.7215777,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1494.9,274.7790619,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1608,71.2415266,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
879.23,24.71166168,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
611.74,3.997601439,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1015.29,10.12097077,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
401.51,741.362991,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1678.69,11.97101821,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
444.33,32.24980299,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1455.12,23.87815264,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
787.47,22.09360845,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1080.79,233.861769,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1523.16,2015.687761,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
331.74,37.95395308,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
475.922,4.230246261,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
761,11.80438449,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2362.6,124.9144497,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
668,13.20638821,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2053.37,51.00725792,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
995.4481538,54.46277892,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1051.59,878.1006508,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
864.93,100.0824232,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2110.47,326.3838823,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1494.9025,40.47275352,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
703.06,210.5733083,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
308.18,33.26286117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1436.85,91.99825522,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
693.11,53.21087854,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
370.78,55.46122074,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1843.208154,8.676219272,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
754.46,49.48065903,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1000.2,20.22559315,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
852.64,360.3942325,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
751.07,25.43485395,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
